asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
588,8.26,0.0314,6.44,2.434,0.1036,344.39,0.197,-11.03,4,5
617,8.23,0.0238,5.05,2.35,0.1007,310.64,0.3664,-6.77,5,5
624,7.35,0.0874,18.83,2.317,0.0541,335.59,0.3258,-12.8,4,5
659,8.7,0.0487,9.87,2.466,0.1296,355.29,0.0875,-16.24,4,5
884,8.73,0.0524,10.8,2.423,0.0879,353.51,0.1762,-12.03,5,50
911,8.01,0.0779,16.97,2.29,0.021,317.25,0.3865,-8.61,4,5
1143,8.4,0.0481,9.85,2.44,0.0522,365.41,0.0691,-10.91,4,5
1172,8.33,0.0484,10.21,2.366,0.0604,331.47,0.3057,-7.92,5,5
1173,8.89,0.1106,23.4,2.362,0.0926,380.95,0.1403,-24.25,5,50
1208,8.99,0.0474,10.75,2.201,0.0524,229.49,0.543,-0.61,5,50
1404,9.41,0.0932,20.14,2.31,0.0763,334.44,0.3277,-15.15,4,5
1437,8.29,0.1268,28.62,2.213,0.0317,66.48,0.3755,-19.6,4,50
1583,8.62,0.1065,24.38,2.181,0.0189,282.16,0.4857,-10.85,4,5
1647,10.57,0.0387,7.93,2.439,0.0588,359.32,0.1166,-9.96,4,5
1749,9.54,0.0664,13.69,2.422,0.0687,366.12,0.1187,-13.62,4,5
1867,8.43,0.0787,17.63,2.229,0.0297,286.69,0.474,-6.32,5,5
1868,9.61,0.1066,23.02,2.313,0.1018,346.1,0.289,-20.98,4,50
1869,11.17,0.1023,21.44,2.381,0.0608,356.87,0.0598,-20.47,4,50
1870,10.73,0.0462,9.5,2.429,0.0171,363.52,0.1115,-9.48,5,5
1871,11.27,0.1286,27.82,2.31,0.0144,401.69,0.1295,-25.44,5,5
1872,10.86,0.1091,23.55,2.313,0.015,364.7,0.2536,-17.98,5,5
1873,10.26,0.0558,11.97,2.327,0.1173,308.03,0.3792,-10.44,5,5
2146,10.0,0.0161,3.74,2.15,0.0651,227.28,0.6123,3.28,4,50
2148,10.84,0.0224,4.6,2.43,0.024,354.54,0.1552,-7.46,4,5
2207,8.96,0.0777,16.1,2.41,0.0624,348.18,0.1082,-14.93,5,50
2223,9.24,0.0651,13.79,2.359,0.038,340.31,0.2882,-9.48,5,5
2241,8.62,0.0595,12.56,2.365,0.1009,329.02,0.3079,-11.52,5,5
2260,9.46,0.0192,4.02,2.385,0.0197,334.39,0.283,-5.25,4,5
2357,9.07,0.0337,6.88,2.448,0.0481,363.27,0.0481,-9.59,5,5
2363,8.97,0.0784,17.99,2.177,0.0333,259.83,0.5399,-4.07,5,5
2456,9.4,0.0772,16.34,2.36,0.0388,172.46,0.2567,-11.66,4,50
2594,11.88,0.1413,30.91,2.282,0.071,399.57,0.1028,-33.45,5,50
2674,9.2,0.0345,7.01,2.461,0.088,360.4,0.0365,-11.72,5,5
2759,10.07,0.0476,10.17,2.337,0.0873,314.27,0.3659,-7.76,4,5
2797,8.94,0.1044,22.94,2.274,0.0772,327.78,0.3578,-16.66,4,50
2893,9.11,0.0779,16.4,2.372,0.0471,356.05,0.2289,-12.89,5,5
2895,10.13,0.034,7.39,2.293,0.0674,294.4,0.4377,-3.64,5,5
2920,8.91,0.0985,21.67,2.271,0.0167,325.69,0.3731,-12.7,4,5
3063,8.67,0.0606,12.67,2.389,0.0558,349.17,0.2338,-10.57,4,5
3240,10.3,0.0542,11.08,2.444,0.0775,365.33,0.0622,-12.91,5,5
3317,8.53,0.0216,4.7,2.293,0.0835,290.58,0.4454,-3.31,5,50
3391,10.43,0.0903,19.29,2.338,0.0488,277.5,0.272,-14.22,4,50
3451,8.5,0.1167,26.3,2.216,0.0381,190.31,0.4088,-16.04,5,50
3540,9.48,0.0869,19.01,2.285,0.122,307.34,0.391,-15.43,4,50
3548,9.84,0.0888,18.56,2.389,0.0439,376.38,0.1292,-16.19,4,5
3564,9.54,0.0443,9.24,2.394,0.0844,337.29,0.2645,-9.61,4,5
3596,9.26,0.0811,17.81,2.274,0.0275,311.16,0.4066,-8.71,4,5
3708,9.38,0.0088,1.82,1.827,0.1285,330.78,0.2511,-11.02,5,5
3709,9.13,0.0583,12.44,2.339,0.0141,328.29,0.3351,-7.11,4,5
3793,8.86,0.049,10.48,2.335,0.0577,318.41,0.3602,-6.59,4,5
3794,10.53,0.02,4.04,2.469,0.1273,349.02,0.1176,-13.18,4,50
3801,11.15,0.1114,25.63,2.171,0.0185,281.72,0.4859,-11.95,4,5
4007,10.39,0.0585,12.17,2.4,0.0157,357.13,0.1939,-9.84,4,5
4035,9.62,0.0748,15.75,2.373,0.0096,354.79,0.2266,-11.56,4,5
4057,10.25,0.06,12.28,2.44,0.081,366.96,0.0499,-13.74,4,50
4060,9.49,0.0493,10.25,2.402,0.1293,331.57,0.269,-13.48,4,5
4063,8.84,0.0479,10.08,2.371,0.0735,331.47,0.3006,-8.6,4,5
4068,9.7,0.0815,17.39,2.342,0.0681,340.64,0.2962,-13.14,4,5
4086,9.23,0.0954,20.78,2.292,0.0789,326.62,0.3541,-15.05,4,5
4138,10.11,0.0567,11.64,2.434,0.044,369.46,0.0485,-11.67,4,5
4348,9.68,0.0407,8.34,2.439,0.0896,353.41,0.1515,-11.45,5,5
4489,9.18,0.098,21.45,2.283,0.0295,330.97,0.3552,-13.31,4,5
4501,10.54,0.0782,16.33,2.39,0.0084,358.46,0.1631,-13.05,4,5
4543,9.85,0.1236,27.13,2.275,0.059,342.87,0.2761,-22.92,4,50
4707,10.64,0.0392,7.99,2.45,0.1091,351.62,0.1429,-12.85,5,5
4708,10.03,0.0925,19.38,2.383,0.0626,352.13,0.1453,-17.4,5,50
4709,8.75,0.083,18.5,2.241,0.0407,183.21,0.4514,-7.74,5,50
4715,9.84,0.097,21.04,2.301,0.0246,340.61,0.3238,-13.8,5,5
4722,10.18,0.0232,4.71,2.455,0.1027,350.67,0.1364,-11.29,5,5
4754,10.13,0.0872,18.38,2.37,0.0375,365.43,0.2008,-14.69,5,5
4791,10.11,0.0617,13.64,2.26,0.0798,288.02,0.4587,-6.27,5,5
4792,10.25,0.0619,12.79,2.416,0.0563,362.68,0.1462,-12.06,5,5
4805,10.11,0.0602,12.55,2.394,0.0718,348.15,0.2314,-11.33,5,5
4827,10.58,0.0887,18.56,2.388,0.0689,363.91,0.1522,-16.94,5,50
4828,10.48,0.0569,11.91,2.385,0.0857,339.33,0.2661,-11.06,5,5
4829,11.25,0.1054,22.39,2.352,0.0199,381.68,0.1625,-18.73,5,5
4832,10.08,0.0585,12.32,2.369,0.1091,328.36,0.3054,-12.07,5,5
4833,9.04,0.0486,11.04,2.196,0.0677,256.03,0.548,-1.25,4,5
4834,9.24,0.0392,8.59,2.279,0.0891,287.46,0.4548,-4.58,4,5
4835,10.67,0.0253,4.25,1.801,0.2215,301.32,0.3162,-21.02,4,5
4836,9.61,0.0612,12.97,2.358,0.0813,331.0,0.3104,-10.38,4,5
4867,9.94,0.0491,10.85,2.259,0.0409,286.46,0.4688,-3.01,5,5
4902,9.9,0.0115,2.36,2.432,0.0094,350.59,0.1515,-6.95,4,5
4946,10.22,0.1104,24.35,2.264,0.0904,326.72,0.3589,-19.1,4,50
5012,10.63,0.0614,12.59,2.434,0.0732,366.98,0.0805,-13.47,4,5
5023,10.49,0.0626,13.1,2.387,0.0295,352.81,0.225,-10.13,4,5
5025,10.43,0.0248,5.13,2.416,0.029,348.71,0.2016,-7.06,4,5
5027,9.79,0.0921,21.0,2.19,0.0203,275.41,0.5028,-7.42,4,5
5028,10.29,0.0519,11.07,2.34,0.0841,318.0,0.3551,-8.31,4,5
5041,10.84,0.0896,18.84,2.375,0.0452,369.9,0.1777,-15.79,4,5
5119,10.35,0.0083,1.78,2.351,0.0693,329.55,0.2921,-6.24,5,5
5120,10.33,0.0803,17.81,2.251,0.0672,295.17,0.4459,-8.79,5,5
5123,10.13,0.031,6.33,2.443,0.0705,355.94,0.1279,-9.82,4,5
5126,10.63,0.0394,8.71,2.259,0.0453,204.52,0.4773,-1.87,4,50
5130,9.87,0.1018,22.0,2.311,0.0392,350.94,0.2904,-16.08,5,5
5144,9.12,0.0409,7.48,2.432,0.2145,334.58,0.1054,-26.1,5,50
5209,10.34,0.1108,23.67,2.338,0.0286,4.25,0.1768,-19.6,4,50
5233,11.54,0.0619,12.64,2.446,0.0969,366.37,0.0456,-15.18,5,50
5244,10.59,0.0542,11.15,2.429,0.0563,363.3,0.1178,-11.39,4,5
5254,9.3,0.0351,7.53,2.328,0.078,307.96,0.388,-5.59,4,5
5257,11.94,0.0628,12.88,2.434,0.0618,370.77,0.0318,-13.27,5,5
5258,10.32,0.0813,16.9,2.403,0.0589,372.55,0.1224,-15.54,4,5
5259,10.43,0.0302,6.25,2.415,0.1196,332.36,0.2578,-11.08,4,5
5264,9.52,0.0118,2.62,2.168,0.0853,261.17,0.5329,-0.3,4,50
5283,9.78,0.0103,2.18,2.364,0.1013,329.06,0.2796,-8.36,4,5
5284,10.2,0.0216,4.55,2.366,0.038,325.63,0.3225,-4.88,4,5
5285,10.19,0.1056,23.55,2.239,0.0318,41.32,0.4053,-13.34,4,50
5436,10.53,0.0103,2.11,2.439,0.0526,352.85,0.1496,-7.89,4,5
5476,10.71,0.094,20.02,2.346,0.0451,253.78,0.2397,-15.38,5,50
5511,10.37,0.0535,11.07,2.415,0.0734,353.36,0.1879,-11.31,5,5
5637,11.55,0.1022,22.59,2.26,0.0737,317.6,0.3865,-15.3,5,5
5638,10.57,0.084,17.5,2.398,0.1051,361.3,0.1763,-18.32,5,50
5648,9.86,0.0699,15.01,2.326,0.1296,312.18,0.3648,-13.79,5,50
5652,10.22,0.0239,4.86,2.452,0.0524,361.1,0.0555,-9.12,4,5
5907,11.15,0.0627,12.8,2.446,0.0942,367.71,0.0133,-15.35,5,5
6002,10.68,0.0249,5.18,2.394,0.0753,333.13,0.2769,-7.42,5,5
6090,9.59,0.103,22.68,2.268,0.0216,329.28,0.365,-13.97,4,5
6443,12.11,0.0434,8.87,2.443,0.1073,351.08,0.1575,-12.92,5,5
6545,10.24,0.102,21.82,2.335,0.0067,327.24,0.2308,-16.66,4,5
6997,10.62,0.0317,6.69,2.368,0.0912,321.19,0.3293,-7.58,5,5
6998,11.48,0.043,8.8,2.442,0.0299,366.77,0.0296,-9.87,5,5
7119,9.86,0.0951,20.74,2.291,0.0652,328.43,0.353,-14.2,4,5
7152,10.36,0.0533,10.94,2.433,0.0202,369.6,0.0431,-10.68,4,5
7214,11.77,0.1096,23.6,2.32,0.0139,369.65,0.2345,-18.47,4,5
7352,10.03,0.0917,19.19,2.386,0.0442,378.64,0.1221,-16.89,5,5
7543,10.71,0.0733,15.45,2.369,0.0311,352.22,0.2453,-11.36,4,5
7641,9.58,0.0139,3.15,2.156,0.0406,244.59,0.5832,2.82,4,5
7815,10.34,0.0905,19.59,2.308,0.0467,335.33,0.3316,-12.97,5,5
8060,10.95,0.0837,17.43,2.398,0.0558,373.29,0.1273,-15.75,4,5
8125,10.9,0.1071,23.04,2.321,0.0342,364.8,0.2462,-18.09,4,5
8241,11.31,0.0995,20.77,2.394,0.0877,382.63,0.0734,-21.52,4,50
8317,11.15,0.1182,25.04,2.356,0.074,393.83,0.0341,-25.98,4,50
9023,10.27,0.0782,17.08,2.286,0.0172,315.53,0.3924,-8.46,5,5
9030,11.17,0.1302,27.99,2.322,0.059,361.55,0.0342,-28.66,5,50
9142,10.71,0.0688,14.32,2.399,0.0817,354.46,0.2033,-13.64,5,5
9430,11.37,0.0787,16.29,2.413,0.0363,378.96,0.0373,-14.69,5,5
9431,10.71,0.0907,19.78,2.29,0.0615,323.9,0.3655,-12.76,4,5
9590,12.0,0.1036,21.75,2.379,0.0848,382.03,0.1111,-22.04,4,50
9694,10.77,0.141,30.9,2.28,0.0101,413.55,0.0956,-29.93,4,5
9712,10.96,0.0225,4.59,2.446,0.0825,352.12,0.1436,-9.83,4,5
9713,11.32,0.0452,9.26,2.438,0.0335,366.01,0.0627,-10.04,4,5
9790,11.02,0.0496,10.21,2.429,0.0433,362.72,0.1191,-10.36,4,5
9799,9.74,0.0178,3.99,2.228,0.0488,213.94,0.5262,0.73,4,50
9807,11.46,0.0003,1.78,0.007,0.1057,351.86,0.1024,-11.24,4,5
9817,11.55,0.0942,19.82,2.373,0.0389,183.41,0.1563,-16.49,4,50
9818,11.11,0.0782,16.26,2.402,0.0464,371.38,0.1297,-14.33,4,5
9828,11.96,0.0498,10.18,2.444,0.0612,366.61,0.0341,-11.64,4,5
9857,10.38,0.0852,18.48,2.302,0.0694,324.12,0.3588,-12.31,4,5
9907,11.63,0.0968,20.37,2.374,0.0232,381.59,0.1296,-17.23,4,5
10247,11.18,0.1531,34.13,2.242,0.0471,293.11,0.0654,-36.19,4,50
10664,11.4,0.0981,20.73,2.364,0.0412,212.94,0.1671,-17.29,4,50
10989,11.39,0.0471,9.73,2.417,0.0573,353.77,0.1833,-9.88,4,5
11089,10.75,0.1118,23.64,2.361,0.0703,382.21,0.1004,-23.29,5,50
11251,12.04,0.0562,11.53,2.435,0.0505,368.78,0.051,-11.84,4,5
11252,10.7,0.0695,14.36,2.416,0.0231,373.32,0.0814,-12.66,4,5
11273,11.65,0.1166,24.73,2.355,0.1088,381.56,0.1254,-27.88,5,50
11275,11.69,0.019,4.08,2.323,0.0562,305.26,0.3999,-3.45,5,5
11351,10.9,0.1211,26.27,2.301,0.0237,377.89,0.2227,-21.92,4,5
11395,9.95,0.0067,1.67,2.028,0.0927,297.27,0.4176,-4.37,4,5
11396,10.68,0.0137,2.83,2.417,0.059,343.28,0.2207,-7.24,4,5
11397,10.26,0.1264,28.56,2.209,0.0323,99.26,0.3828,-19.33,4,50
11428,11.18,0.1166,25.59,2.275,0.0315,352.25,0.3055,-19.09,4,5
11429,10.53,0.1054,22.88,2.3,0.0255,350.55,0.2988,-16.27,4,5
11487,11.29,0.0612,12.59,2.425,0.0283,370.43,0.0748,-11.64,5,5
11488,11.42,0.0769,15.9,2.415,0.0413,377.61,0.0438,-14.53,5,5
11509,10.3,0.0304,6.4,2.371,0.1003,320.34,0.3282,-8.08,5,5
11552,10.17,0.0916,19.35,2.365,0.1055,353.39,0.2354,-19.09,5,50
11554,10.57,0.0774,16.24,2.38,0.0611,357.2,0.2161,-13.66,5,5
11663,10.98,0.072,15.16,2.371,0.0807,344.38,0.2626,-12.98,5,5
11668,11.54,0.0662,13.52,2.444,0.1111,363.77,0.0804,-17.02,4,5
11869,11.54,0.0633,13.17,2.399,0.0085,351.15,0.1813,-10.57,5,5
11887,10.91,0.0284,6.17,2.301,0.0621,288.38,0.4281,-3.18,5,50
12052,10.67,0.1042,22.24,2.339,0.0266,371.64,0.2115,-17.8,5,5
12054,11.85,0.1054,22.37,2.352,0.0268,381.31,0.1629,-18.87,4,5
12126,10.15,0.0447,8.97,2.49,0.1582,351.25,0.0448,-19.16,5,5
12238,10.98,0.0387,8.26,2.338,0.087,311.9,0.3714,-6.79,4,5
12242,10.89,0.1056,24.33,2.166,0.0266,272.6,0.5062,-10.05,5,5
12444,9.98,0.0549,12.35,2.221,0.0534,243.94,0.5147,-2.32,5,50
12649,11.76,0.0618,12.67,2.435,0.1013,359.91,0.1272,-15.06,5,5
12658,11.29,0.1106,23.37,2.364,0.0315,22.7,0.011,-21.07,4,50
12714,10.29,0.0629,13.1,2.399,0.0258,359.18,0.1876,-10.67,4,5
12916,11.47,0.1108,25.19,2.196,0.0217,295.93,0.4539,-12.97,4,5
12917,11.49,0.093,19.68,2.359,0.0504,291.0,0.2108,-16.06,4,50
12921,11.1,0.0343,7.1,2.412,0.0451,347.9,0.2112,-7.91,4,5
12929,10.13,0.0622,15.15,2.049,0.0339,23.32,0.6917,4.25,5,50
12972,11.75,0.063,12.86,2.445,0.1309,354.78,0.1351,-17.89,4,5
12973,11.5,0.0889,18.57,2.391,0.0308,379.6,0.1072,-15.99,4,5
12974,11.41,0.0304,6.23,2.436,0.0513,279.4,0.1325,-8.67,4,50
13060,10.89,0.0666,14.52,2.293,0.104,301.59,0.4114,-9.71,4,50
13062,11.17,0.1304,28.19,2.311,0.0451,277.36,0.1031,-27.19,4,50
13181,12.05,0.0149,3.0,2.465,0.1058,355.3,0.0492,-11.84,4,5
13182,10.78,0.054,11.03,2.444,0.0991,359.52,0.1098,-14.03,4,5
13183,10.8,0.0422,8.84,2.382,0.1195,323.47,0.3094,-10.92,4,5
13184,11.11,0.0818,16.94,2.412,0.0757,373.71,0.0941,-16.87,4,5
13185,12.05,0.0396,8.18,2.421,0.0144,356.71,0.1626,-8.33,4,5
13229,11.7,0.0892,18.51,2.406,0.0834,377.57,0.0801,-18.8,4,50
13230,11.36,0.1447,31.79,2.274,0.0418,238.52,0.0618,-32.32,4,50
13323,11.15,0.1367,29.63,2.304,0.0553,344.03,0.027,-30.59,4,50
13331,11.45,0.1385,30.11,2.299,0.0714,402.86,0.0643,-32.38,4,50
13353,11.5,0.0415,8.6,2.408,0.1109,336.05,0.2538,-11.19,4,50
13362,11.1,0.0531,10.93,2.424,0.0618,359.58,0.1466,-11.22,4,5
13366,11.29,0.022,4.49,2.45,0.0603,358.27,0.0932,-9.13,4,5
13372,11.35,0.0447,9.18,2.432,0.0255,363.45,0.1049,-9.53,4,5
13379,11.57,0.0663,13.67,2.421,0.0192,373.26,0.0635,-12.22,4,5
13383,11.35,0.091,19.08,2.382,0.0238,378.3,0.1314,-15.99,4,5
13385,11.0,0.0298,6.16,2.415,0.079,341.86,0.2316,-8.79,4,5
13387,12.21,0.0307,6.28,2.445,0.081,354.42,0.1334,-10.33,4,5
13402,11.67,0.07,14.44,2.421,0.0819,365.05,0.1217,-14.8,5,50
13463,11.25,0.0675,14.09,2.393,0.0418,357.91,0.2004,-11.54,4,5
13475,11.62,0.0315,6.47,2.434,0.0571,310.56,0.1465,-8.83,4,50
13650,11.87,0.0968,20.43,2.365,0.0754,362.92,0.193,-18.59,4,50
13694,10.99,0.1397,30.6,2.281,0.0363,166.71,0.1182,-29.72,4,50
13780,11.97,0.0863,18.03,2.391,0.0548,317.26,0.1394,-15.82,4,50
13782,11.64,0.0441,9.71,2.269,0.0996,283.63,0.4646,-5.13,4,50
13790,11.75,0.064,13.12,2.434,0.1009,361.56,0.1208,-15.27,4,50
13862,11.7,0.0846,17.65,2.394,0.0439,374.63,0.1276,-15.41,4,5
14235,11.38,0.1067,22.6,2.357,0.0463,272.36,0.1399,-20.05,4,50
14268,10.6,0.0934,20.02,2.33,0.05,349.39,0.2823,-14.85,4,5
14518,12.14,0.0601,12.32,2.438,0.0988,361.59,0.111,-14.65,4,50
14690,10.63,0.0391,8.0,2.441,0.0453,362.74,0.0843,-9.72,4,5
14707,11.38,0.1292,28.29,2.281,0.0302,15.48,0.219,-24.37,4,50
14791,11.93,0.0657,13.32,2.462,0.1387,360.1,0.0563,-19.86,4,5
14792,12.23,0.0721,15.05,2.394,0.0487,361.59,0.1844,-12.73,4,5
15033,10.74,0.0319,6.51,2.445,0.1579,331.76,0.2261,-15.53,4,5
15094,11.78,0.0927,19.61,2.361,0.0574,329.37,0.2102,-16.28,4,50
15398,10.96,0.0804,18.03,2.227,0.0425,285.81,0.4748,-6.87,4,5
15436,9.21,0.0084,1.77,2.375,0.0057,245.5,0.2999,-4.5,4,5
15440,9.66,0.0891,19.99,2.226,0.0316,291.88,0.4614,-8.49,4,5
15442,11.98,0.0195,3.93,2.478,0.1195,353.54,0.0573,-13.11,4,5
15502,10.1,0.0927,19.96,2.319,0.0602,340.94,0.31,-14.54,5,5
15521,11.28,0.0521,10.74,2.423,0.0961,350.47,0.1881,-12.58,4,5
15527,10.95,0.0095,1.95,1.357,0.1675,303.71,0.3538,-12.36,4,5
15529,11.5,0.0545,11.16,2.44,0.0762,364.31,0.0841,-12.74,4,5
15535,10.66,0.0618,12.89,2.394,0.0486,353.31,0.2149,-10.75,4,5
15536,11.34,0.04,8.3,2.405,0.0998,336.88,0.2541,-10.42,4,5
15539,10.53,0.1423,33.01,2.157,0.0326,112.02,0.3971,-23.68,4,50
15651,11.41,0.1266,27.17,2.325,0.0286,4.25,0.0444,-25.63,4,50
15663,10.93,0.0546,12.5,2.182,0.0692,250.59,0.5585,-1.4,4,50
15913,12.05,0.0196,4.02,2.44,0.0176,358.42,0.114,-7.66,4,5
15977,10.53,0.0721,15.31,2.351,0.0863,334.07,0.3052,-12.42,5,5
16070,9.82,0.085,18.17,2.337,0.0827,339.26,0.3009,-14.46,5,50
16099,10.79,0.0206,4.25,2.422,0.069,344.71,0.2101,-8.1,4,5
16152,11.98,0.086,17.83,2.407,0.0541,380.95,0.0442,-16.73,4,5
16428,11.6,0.0606,12.48,2.424,0.0242,369.84,0.0832,-11.43,5,5
16560,10.78,0.1444,32.36,2.227,0.0536,334.87,0.2453,-30.51,5,50
16667,10.82,0.0329,6.77,2.43,0.1639,324.85,0.261,-15.52,5,5
16956,10.76,0.0828,18.7,2.213,0.0846,275.64,0.4921,-8.14,5,50
16974,10.04,0.049,10.28,2.379,0.0574,338.1,0.2767,-8.47,4,5
17171,10.6,0.0709,15.66,2.26,0.0347,297.02,0.4436,-6.21,5,5
17172,10.9,0.0412,9.08,2.265,0.037,286.87,0.468,-2.29,5,5
17314,10.94,0.0485,9.97,2.429,0.1123,347.07,0.1937,-13.12,5,50
17351,11.49,0.047,9.85,2.384,0.0546,339.6,0.2681,-8.33,4,5
17365,10.5,0.0623,13.01,2.393,0.0618,351.03,0.2235,-11.25,5,5
17414,12.13,0.0776,16.44,2.357,0.0542,346.79,0.2702,-12.32,5,5
17415,12.17,0.0696,15.12,2.298,0.0296,314.9,0.3888,-7.47,5,5
17416,12.37,0.0884,18.92,2.334,0.0329,348.04,0.2853,-13.19,5,5
17417,11.58,0.0432,8.81,2.446,0.0525,365.82,0.0177,-10.61,5,5
17418,12.19,0.0501,10.19,2.454,0.1191,354.9,0.1187,-15.14,5,5
17419,11.36,0.0875,18.61,2.348,0.0582,351.35,0.263,-14.48,5,5
17420,12.02,0.0551,11.56,2.38,0.0349,344.51,0.2574,-8.75,5,5
17421,11.84,0.0662,13.96,2.369,0.0918,336.88,0.2844,-12.35,5,5
17423,12.26,0.0434,8.81,2.46,0.0951,361.71,0.0258,-13.04,5,5
17424,12.33,0.0108,2.25,2.297,0.1137,338.91,0.2132,-10.55,5,5
17442,11.81,0.0861,18.34,2.345,0.0308,352.0,0.2658,-13.1,5,5
17492,10.14,0.1219,28.11,2.166,0.0372,170.04,0.4635,-15.54,5,50
17874,11.77,0.1576,35.43,2.224,0.0371,170.64,0.0368,-37.61,4,50
18037,11.61,0.0608,12.73,2.387,0.0669,346.75,0.2425,-10.97,5,5
18046,10.54,0.0518,11.72,2.206,0.0309,4.25,0.534,-0.69,5,50
18054,10.76,0.0649,13.81,2.346,0.0448,333.61,0.3146,-9.08,5,5
18058,12.07,0.0937,19.7,2.375,0.0357,376.27,0.1527,-16.63,4,5
18060,11.17,0.0845,17.62,2.394,0.0447,374.35,0.1291,-15.41,4,5
18062,11.02,0.0652,13.81,2.356,0.0043,175.01,0.2882,-8.95,4,5
18063,11.29,0.0776,16.65,2.326,0.0318,334.46,0.3257,-10.33,4,5
18071,11.65,0.136,29.55,2.298,0.0136,413.99,0.0771,-28.34,4,5
18137,11.09,0.1354,29.52,2.291,0.054,338.74,0.1456,-28.8,5,50
18228,11.81,0.0735,15.07,2.437,0.1072,368.69,0.0586,-17.86,5,50
18263,11.45,0.1188,25.65,2.312,0.0244,380.3,0.2069,-21.58,4,5
18268,12.05,0.0463,9.75,2.37,0.0505,333.78,0.2966,-7.52,5,5
18278,11.44,0.0546,11.53,2.366,0.0729,332.36,0.3022,-9.27,5,5
18281,12.48,0.057,11.78,2.419,0.0658,358.84,0.1594,-11.73,5,5
18282,12.46,0.0353,7.22,2.438,0.0709,355.2,0.1424,-10.0,5,5
18493,10.82,0.1022,22.15,2.304,0.052,345.43,0.307,-16.29,5,5
18940,11.64,0.1121,23.71,2.363,0.0506,307.92,0.0482,-22.33,5,50
18971,11.77,0.0297,6.13,2.423,0.1234,334.22,0.2438,-11.65,5,5
19018,11.35,0.0579,12.87,2.245,0.0654,278.91,0.4802,-4.36,5,50
19020,10.65,0.0189,3.94,2.397,0.0656,334.67,0.2701,-6.81,5,5
19725,10.88,0.1028,21.78,2.357,0.0298,380.02,0.1612,-18.36,4,5
19844,11.05,0.019,4.5,2.114,0.0066,148.09,0.6511,5.61,5,5
19913,11.26,0.105,22.14,2.369,0.0527,314.1,0.1074,-20.17,4,50
20144,11.49,0.0193,3.97,2.436,0.0547,352.59,0.157,-8.17,4,5
20424,10.66,0.0211,4.55,2.316,0.0783,300.02,0.4135,-4.1,4,5
20428,11.0,0.0497,10.56,2.35,0.1022,317.89,0.3466,-9.45,4,5
20716,11.49,0.0275,5.96,2.305,0.1035,293.26,0.4296,-5.4,4,5
20720,11.1,0.0812,17.24,2.353,0.102,338.22,0.289,-15.57,4,5
20729,10.58,0.0251,5.4,2.318,0.0408,169.77,0.4009,-2.99,4,50
20738,11.74,0.0454,9.43,2.407,0.0452,350.33,0.2092,-8.88,4,5
20739,11.6,0.0424,8.74,2.422,0.1217,338.4,0.2311,-12.82,4,5
20947,11.95,0.1356,29.39,2.305,0.0344,103.41,0.0312,-28.67,4,50
20952,11.71,0.0495,10.25,2.41,0.0467,353.69,0.1926,-9.58,4,5
20961,11.85,0.068,14.12,2.404,0.0289,365.34,0.1546,-11.87,4,5
20995,11.7,0.1173,25.82,2.268,0.0757,342.38,0.3237,-20.94,4,50
21271,11.87,0.094,19.68,2.387,0.0469,269.4,0.0943,-17.53,4,50
21284,11.58,0.0485,9.92,2.443,0.0919,357.92,0.1219,-12.73,4,5
21370,11.58,0.0582,11.97,2.427,0.0601,364.52,0.1143,-12.08,4,5
21371,11.88,0.0536,11.03,2.427,0.0514,363.22,0.1203,-11.09,4,5
21372,11.85,0.0354,7.33,2.416,0.0287,351.73,0.1916,-7.85,4,5
21593,11.7,0.1228,26.31,2.333,0.0281,4.25,0.0807,-23.91,4,50
21595,10.86,0.0252,5.42,2.321,0.0929,300.68,0.4072,-5.26,4,5
21599,11.46,0.0008,0.74,0.175,0.0675,344.4,0.2062,-7.65,4,5
21601,10.1,0.1303,29.42,2.213,0.0474,284.06,0.364,-21.56,4,50
21602,12.13,0.0655,13.55,2.412,0.0656,361.5,0.159,-12.85,4,5
21900,10.09,0.0842,17.65,2.381,0.0126,370.49,0.168,-14.07,4,5
22008,11.63,0.0779,16.11,2.413,0.0387,377.86,0.0522,-14.57,4,5
22009,11.78,0.0397,8.12,2.439,0.0248,364.26,0.0761,-9.27,4,5
22010,12.34,0.1155,24.47,2.356,0.0343,400.91,0.0148,-22.86,4,5
22012,11.88,0.046,9.38,2.447,0.0906,358.75,0.1069,-12.51,4,5
22014,10.3,0.0617,13.92,2.213,0.0704,267.81,0.5149,-4.06,4,50
22035,11.92,0.0916,19.71,2.321,0.0571,341.89,0.3065,-14.27,4,5
22041,11.9,0.0674,14.04,2.399,0.0259,362.9,0.1723,-11.5,4,5
22042,12.18,0.0492,10.1,2.435,0.0674,361.16,0.116,-11.38,4,5
22049,11.85,0.1602,36.23,2.211,0.0441,268.6,0.0545,-39.25,4,50
22052,11.28,0.0612,12.73,2.401,0.0214,359.29,0.1841,-10.41,4,5
22054,11.33,0.0563,12.13,2.32,0.0741,313.0,0.3791,-7.65,4,5
22055,11.14,0.0508,10.47,2.422,0.0698,355.46,0.1697,-11.06,4,5
22056,11.89,0.0967,19.95,2.426,0.1557,365.16,0.0956,-28.47,4,50
22059,11.25,0.0462,9.4,2.453,0.127,350.06,0.146,-15.07,4,5
