asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
296694,13.99,0.0353,7.21,2.447,0.0656,360.4,0.0868,-10.23,4,5
296707,13.94,0.0227,4.64,2.438,0.0145,358.56,0.1174,-7.72,4,5
296711,13.02,0.0783,16.62,2.352,0.0333,347.73,0.2727,-11.66,4,5
296720,13.69,0.0562,11.5,2.44,0.061,368.77,0.0238,-12.38,4,5
296725,13.54,0.0262,5.36,2.444,0.0555,303.96,0.1065,-8.83,4,50
296726,14.16,0.0483,9.97,2.421,0.0336,359.42,0.152,-9.6,4,5
296738,13.08,0.008,1.71,2.058,0.0313,4.25,0.4202,-1.68,4,50
296745,13.38,0.0381,7.85,2.425,0.031,356.95,0.1539,-8.59,4,5
296757,13.25,0.0825,17.58,2.343,0.0674,342.07,0.2917,-13.37,4,5
296763,12.82,0.0668,13.95,2.391,0.0672,352.51,0.2198,-12.21,4,5
296774,13.58,0.0405,8.24,2.457,0.1102,354.66,0.112,-13.4,4,5
296777,13.12,0.0356,7.4,2.403,0.0877,337.25,0.2556,-9.23,4,5
296782,13.57,0.1052,22.17,2.371,0.0627,359.39,0.1094,-20.71,4,50
296783,13.05,0.0634,13.2,2.399,0.0141,360.36,0.1828,-10.61,4,5
296786,13.71,0.0534,10.93,2.44,0.0709,365.01,0.0758,-12.35,4,5
296787,13.12,0.1396,30.5,2.287,0.0609,371.09,0.1119,-31.39,4,50
296793,12.85,0.0519,10.99,2.36,0.0722,328.62,0.3167,-8.6,4,5
296809,12.99,0.034,7.27,2.338,0.0843,310.88,0.3747,-6.2,4,5
296817,13.45,0.1077,22.66,2.374,0.0535,393.47,0.0382,-21.63,4,5
296853,14.04,0.0095,1.93,2.447,0.0475,358.52,0.0854,-8.27,4,5
296887,13.2,0.0522,11.57,2.254,0.0661,283.13,0.4752,-4.01,4,5
297019,13.18,0.0753,17.09,2.201,0.0351,270.39,0.5148,-4.54,5,5
297047,13.63,0.0603,13.41,2.246,0.0451,210.44,0.4764,-3.85,5,50
