asteroid_number,H_mag,status,family1,dv_fam1,near1,family2,dv_fam2,near2,rescod
676,9.33,3,221,0.0,0,0,0.0,0,0
682,12.17,3,15,0.0,0,0,0.0,0,0
686,9.67,3,194,0.0,0,0,0.0,0,0
695,8.93,3,170,0.0,0,0,0.0,0,0
710,10.94,3,24,0.0,0,0,0.0,0,0
714,8.96,3,170,0.0,0,0,0.0,0,0
720,9.66,3,158,0.0,0,0,0.0,0,0
727,9.52,3,170,0.0,0,0,0.0,0,0
729,9.25,3,729,0.0,0,0,0.0,0,0
742,9.46,3,221,0.0,0,0,0.0,0,0
752,10.16,3,752,0.0,0,0,0.0,0,0
758,8.35,3,10,0.0,0,0,0.0,0,0
761,10.69,3,158,0.0,0,0,0.0,0,0
765,12.35,3,5,0.0,0,0,0.0,0,0
766,9.64,3,221,0.0,0,0,0.0,0,0
767,10.06,3,24,0.0,0,0,0.0,0,0
775,10.16,3,221,0.0,0,0,0.0,0,0
778,9.57,3,778,0.0,0,0,0.0,0,0
780,8.96,3,780,0.0,0,0,0.0,0,0
787,9.64,3,170,0.0,0,0,0.0,0,0
798,9.44,3,221,0.0,0,0,0.0,0,0
801,11.46,3,15,0.0,0,0,0.0,0,0
807,10.49,3,221,0.0,0,0,0.0,0,0
808,9.66,3,808,0.0,0,0,0.0,0,0
811,10.62,3,158,0.0,0,0,0.0,0,0
812,11.66,3,15,0.0,0,0,0.0,0,0
832,11.18,3,158,0.0,0,0,0.0,0,0
833,11.06,3,221,0.0,0,0,0.0,0,0
845,10.12,3,845,0.0,0,0,0.0,0,0
846,10.25,3,24,0.0,0,0,0.0,0,0
847,10.04,3,847,0.0,0,0,0.0,0,0
848,11.13,3,24,0.0,0,0,0.0,0,0
852,9.94,3,25,0.0,0,0,0.0,0,0
875,11.14,3,170,0.0,0,0,0.0,0,0
876,10.8,3,221,0.0,0,0,0.0,0,0
878,14.56,3,135,0.0,0,0,0.0,0,0
879,10.9,3,170,0.0,0,0,0.0,0,0
883,12.54,3,883,0.0,0,0,0.0,0,0
885,10.64,3,24,0.0,0,0,0.0,0,0
890,10.43,3,221,0.0,0,0,0.0,0,0
895,8.38,3,895,0.0,0,0,0.0,0,0
897,10.26,3,170,0.0,0,0,0.0,0,0
909,8.54,3,909,0.0,0,0,0.0,0,0
933,12.38,1,163,0.0,0,0,0.0,0,0
936,10.28,3,24,0.0,0,0,0.0,0,0
938,11.3,3,24,0.0,0,0,0.0,0,0
945,9.96,3,945,0.0,0,0,0.0,0,0
946,10.5,3,24,0.0,0,0,0.0,0,0
954,10.07,3,24,0.0,0,0,0.0,0,0
962,11.29,3,158,0.0,0,0,0.0,0,0
966,9.82,3,15,0.0,0,0,0.0,0,0
973,10.0,3,375,0.0,0,0,0.0,0,0
975,10.4,3,158,0.0,0,0,0.0,0,0
981,10.86,3,24,0.0,0,0,0.0,0,0
991,11.06,3,24,0.0,0,0,0.0,0,0
